0.010	1.449
0.011	6.155
0.012	11.467
0.012	25.184
0.014	59.579
0.015	116.911
0.016	253.640
0.018	477.341
0.020	941.831
0.022	1625.763
0.024	2755.144
0.027	5114.861
0.032	9531.016
0.038	17886.316
0.047	33264.426
0.060	62050.676
0.077	97498.250
0.108	1.479e5
0.144	1.987e5
0.205	2.591e5
0.287	3.220e5
0.409	4.035e5
0.558	5.187e5
0.806	7.270e5
1.147	9.984e5
1.612	1.292e6
2.362	1.687e6
3.367	2.030e6
4.915	2.597e6
7.079	3.175e6
10.786	3.810e6
16.325	4.034e6
23.957	4.034e6
35.973	4.070e6
54.746	4.063e6
83.717	4.117e6
124.034	4.150e6
175.731	4.111e6
259.085	4.056e6
299.249	4.093e6
