0.267	7.939e-7
0.267	5.381e-7
0.268	4.229e-7
0.268	3.147e-7
0.271	1.692e-7
0.275	9.355e-8
0.279	6.255e-8
0.283	4.004e-8
0.289	2.480e-8
0.298	1.494e-8
0.308	9.535e-9
0.317	6.580e-9
0.331	4.238e-9
0.348	2.673e-9
0.365	1.777e-9
0.390	1.127e-9
0.417	7.383e-10
0.449	4.988e-10
0.481	3.636e-10
0.508	2.849e-10
0.545	2.190e-10
0.597	1.634e-10
0.641	1.361e-10
0.695	1.103e-10
0.752	9.215e-11
0.814	8.020e-11
0.883	6.928e-11
0.961	6.081e-11
1.035	5.632e-11
1.116	5.044e-11
1.212	4.619e-11
1.319	4.154e-11
1.490	3.604e-11
1.626	3.080e-11
1.744	2.675e-11
1.978	2.151e-11
2.173	1.815e-11
2.367	1.582e-11
2.714	1.325e-11
3.019	1.220e-11
3.441	1.110e-11
3.911	1.051e-11
4.422	1.031e-11
4.948	1.031e-11
5.512	1.037e-11
6.275	1.061e-11
7.065	1.087e-11
7.748	1.110e-11
8.706	1.150e-11
9.511	1.198e-11
10.008	1.213e-11
